1



                                 *********************************************

                                    NUMERICAL ELECTROMAGNETICS CODE (NEC-2D)

                                 *********************************************




                                     - - - - COMMENTS - - - -


                          LPDA - Designed from equations (tau=0.915, sigma=0.169)                    
                          F=600MHz, BW=40% (480–720 MHz)                                           
                           Half-lengths (Ln/2)                                                       
                           Spacing dn = 2*sigma*l(n-1)                                               
                           Positions (small → large direction)                                     
                           Dipoles (centered)                                                        
                           Feed at smallest element                                                  
                           Transmission line (alternating phase → IMPORTANT)                       
                           Frequency                                                                 
                           Radiation pattern                                                         
                                                                                                     




                                 - - - STRUCTURE SPECIFICATION - - -

                                     COORDINATES MUST BE INPUT IN
                                     METERS OR BE SCALED TO METERS
                                     BEFORE STRUCTURE INPUT IS ENDED


  WIRE                                                                               NO. OF    FIRST  LAST     TAG
  NO.        X1         Y1         Z1          X2         Y2         Z2      RADIUS   SEG.     SEG.   SEG.     NO.
     1    0.00000    0.00000   -0.16720     0.00000    0.00000    0.16720    0.00600     21        1    21       1
     2    0.11300    0.00000   -0.15300     0.11300    0.00000    0.15300    0.00600     21       22    42       2
     3    0.21640    0.00000   -0.14000     0.21640    0.00000    0.14000    0.00600     21       43    63       3
     4    0.31110    0.00000   -0.12800     0.31110    0.00000    0.12800    0.00600     21       64    84       4
     5    0.39790    0.00000   -0.11700     0.39790    0.00000    0.11700    0.00600     21       85   105       5
     6    0.47750    0.00000   -0.10700     0.47750    0.00000    0.10700    0.00600     21      106   126       6
     7    0.55050    0.00000   -0.09800     0.55050    0.00000    0.09800    0.00600     21      127   147       7
     8    0.61750    0.00000   -0.08970     0.61750    0.00000    0.08970    0.00600     21      148   168       8
     9    0.67890    0.00000   -0.08210     0.67890    0.00000    0.08210    0.00600     21      169   189       9
    10    0.73520    0.00000   -0.07510     0.73520    0.00000    0.07510    0.00600     21      190   210      10
    11    0.78690    0.00000   -0.06850     0.78690    0.00000    0.06850    0.00600     21      211   231      11

   TOTAL SEGMENTS USED=  231     NO. SEG. IN A SYMMETRIC CELL=  231     SYMMETRY FLAG=  0


         - MULTIPLE WIRE JUNCTIONS -
 JUNCTION    SEGMENTS  (- FOR END 1, + FOR END 2)
  NONE




                                 - - - - SEGMENTATION DATA - - - -

                                        COORDINATES IN METERS

                         I+ AND I- INDICATE THE SEGMENTS BEFORE AND AFTER I


  SEG.   COORDINATES OF SEG. CENTER     SEG.     ORIENTATION ANGLES    WIRE    CONNECTION DATA   TAG
  NO.       X         Y         Z       LENGTH     ALPHA     BETA      RADIUS    I-   I    I+    NO.
     1   0.00000   0.00000  -0.15924   0.01592   90.00000   0.00000   0.00600     0    1    2      1
     2   0.00000   0.00000  -0.14331   0.01592   90.00000   0.00000   0.00600     1    2    3      1
     3   0.00000   0.00000  -0.12739   0.01592   90.00000   0.00000   0.00600     2    3    4      1
     4   0.00000   0.00000  -0.11147   0.01592   90.00000   0.00000   0.00600     3    4    5      1
     5   0.00000   0.00000  -0.09554   0.01592   90.00000   0.00000   0.00600     4    5    6      1
     6   0.00000   0.00000  -0.07962   0.01592   90.00000   0.00000   0.00600     5    6    7      1
     7   0.00000   0.00000  -0.06370   0.01592   90.00000   0.00000   0.00600     6    7    8      1
     8   0.00000   0.00000  -0.04777   0.01592   90.00000   0.00000   0.00600     7    8    9      1
     9   0.00000   0.00000  -0.03185   0.01592   90.00000   0.00000   0.00600     8    9   10      1
    10   0.00000   0.00000  -0.01592   0.01592   90.00000   0.00000   0.00600     9   10   11      1
    11   0.00000   0.00000   0.00000   0.01592   90.00000   0.00000   0.00600    10   11   12      1
    12   0.00000   0.00000   0.01592   0.01592   90.00000   0.00000   0.00600    11   12   13      1
    13   0.00000   0.00000   0.03185   0.01592   90.00000   0.00000   0.00600    12   13   14      1
    14   0.00000   0.00000   0.04777   0.01592   90.00000   0.00000   0.00600    13   14   15      1
    15   0.00000   0.00000   0.06370   0.01592   90.00000   0.00000   0.00600    14   15   16      1
    16   0.00000   0.00000   0.07962   0.01592   90.00000   0.00000   0.00600    15   16   17      1
    17   0.00000   0.00000   0.09554   0.01592   90.00000   0.00000   0.00600    16   17   18      1
    18   0.00000   0.00000   0.11147   0.01592   90.00000   0.00000   0.00600    17   18   19      1
    19   0.00000   0.00000   0.12739   0.01592   90.00000   0.00000   0.00600    18   19   20      1
    20   0.00000   0.00000   0.14331   0.01592   90.00000   0.00000   0.00600    19   20   21      1
    21   0.00000   0.00000   0.15924   0.01592   90.00000   0.00000   0.00600    20   21    0      1
    22   0.11300   0.00000  -0.14571   0.01457   90.00000   0.00000   0.00600     0   22   23      2
    23   0.11300   0.00000  -0.13114   0.01457   90.00000   0.00000   0.00600    22   23   24      2
    24   0.11300   0.00000  -0.11657   0.01457   90.00000   0.00000   0.00600    23   24   25      2
    25   0.11300   0.00000  -0.10200   0.01457   90.00000   0.00000   0.00600    24   25   26      2
    26   0.11300   0.00000  -0.08743   0.01457   90.00000   0.00000   0.00600    25   26   27      2
    27   0.11300   0.00000  -0.07286   0.01457   90.00000   0.00000   0.00600    26   27   28      2
    28   0.11300   0.00000  -0.05829   0.01457   90.00000   0.00000   0.00600    27   28   29      2
    29   0.11300   0.00000  -0.04371   0.01457   90.00000   0.00000   0.00600    28   29   30      2
    30   0.11300   0.00000  -0.02914   0.01457   90.00000   0.00000   0.00600    29   30   31      2
    31   0.11300   0.00000  -0.01457   0.01457   90.00000   0.00000   0.00600    30   31   32      2
    32   0.11300   0.00000   0.00000   0.01457   90.00000   0.00000   0.00600    31   32   33      2
    33   0.11300   0.00000   0.01457   0.01457   90.00000   0.00000   0.00600    32   33   34      2
    34   0.11300   0.00000   0.02914   0.01457   90.00000   0.00000   0.00600    33   34   35      2
    35   0.11300   0.00000   0.04371   0.01457   90.00000   0.00000   0.00600    34   35   36      2
    36   0.11300   0.00000   0.05829   0.01457   90.00000   0.00000   0.00600    35   36   37      2
    37   0.11300   0.00000   0.07286   0.01457   90.00000   0.00000   0.00600    36   37   38      2
    38   0.11300   0.00000   0.08743   0.01457   90.00000   0.00000   0.00600    37   38   39      2
    39   0.11300   0.00000   0.10200   0.01457   90.00000   0.00000   0.00600    38   39   40      2
    40   0.11300   0.00000   0.11657   0.01457   90.00000   0.00000   0.00600    39   40   41      2
    41   0.11300   0.00000   0.13114   0.01457   90.00000   0.00000   0.00600    40   41   42      2
    42   0.11300   0.00000   0.14571   0.01457   90.00000   0.00000   0.00600    41   42    0      2
    43   0.21640   0.00000  -0.13333   0.01333   90.00000   0.00000   0.00600     0   43   44      3
    44   0.21640   0.00000  -0.12000   0.01333   90.00000   0.00000   0.00600    43   44   45      3
    45   0.21640   0.00000  -0.10667   0.01333   90.00000   0.00000   0.00600    44   45   46      3
    46   0.21640   0.00000  -0.09333   0.01333   90.00000   0.00000   0.00600    45   46   47      3
    47   0.21640   0.00000  -0.08000   0.01333   90.00000   0.00000   0.00600    46   47   48      3
    48   0.21640   0.00000  -0.06667   0.01333   90.00000   0.00000   0.00600    47   48   49      3
    49   0.21640   0.00000  -0.05333   0.01333   90.00000   0.00000   0.00600    48   49   50      3
    50   0.21640   0.00000  -0.04000   0.01333   90.00000   0.00000   0.00600    49   50   51      3
    51   0.21640   0.00000  -0.02667   0.01333   90.00000   0.00000   0.00600    50   51   52      3
    52   0.21640   0.00000  -0.01333   0.01333   90.00000   0.00000   0.00600    51   52   53      3
    53   0.21640   0.00000   0.00000   0.01333   90.00000   0.00000   0.00600    52   53   54      3
    54   0.21640   0.00000   0.01333   0.01333   90.00000   0.00000   0.00600    53   54   55      3
    55   0.21640   0.00000   0.02667   0.01333   90.00000   0.00000   0.00600    54   55   56      3
    56   0.21640   0.00000   0.04000   0.01333   90.00000   0.00000   0.00600    55   56   57      3
    57   0.21640   0.00000   0.05333   0.01333   90.00000   0.00000   0.00600    56   57   58      3
    58   0.21640   0.00000   0.06667   0.01333   90.00000   0.00000   0.00600    57   58   59      3
    59   0.21640   0.00000   0.08000   0.01333   90.00000   0.00000   0.00600    58   59   60      3
    60   0.21640   0.00000   0.09333   0.01333   90.00000   0.00000   0.00600    59   60   61      3
    61   0.21640   0.00000   0.10667   0.01333   90.00000   0.00000   0.00600    60   61   62      3
    62   0.21640   0.00000   0.12000   0.01333   90.00000   0.00000   0.00600    61   62   63      3
    63   0.21640   0.00000   0.13333   0.01333   90.00000   0.00000   0.00600    62   63    0      3
    64   0.31110   0.00000  -0.12190   0.01219   90.00000   0.00000   0.00600     0   64   65      4
    65   0.31110   0.00000  -0.10971   0.01219   90.00000   0.00000   0.00600    64   65   66      4
    66   0.31110   0.00000  -0.09752   0.01219   90.00000   0.00000   0.00600    65   66   67      4
    67   0.31110   0.00000  -0.08533   0.01219   90.00000   0.00000   0.00600    66   67   68      4
    68   0.31110   0.00000  -0.07314   0.01219   90.00000   0.00000   0.00600    67   68   69      4
    69   0.31110   0.00000  -0.06095   0.01219   90.00000   0.00000   0.00600    68   69   70      4
    70   0.31110   0.00000  -0.04876   0.01219   90.00000   0.00000   0.00600    69   70   71      4
    71   0.31110   0.00000  -0.03657   0.01219   90.00000   0.00000   0.00600    70   71   72      4
    72   0.31110   0.00000  -0.02438   0.01219   90.00000   0.00000   0.00600    71   72   73      4
    73   0.31110   0.00000  -0.01219   0.01219   90.00000   0.00000   0.00600    72   73   74      4
    74   0.31110   0.00000   0.00000   0.01219   90.00000   0.00000   0.00600    73   74   75      4
    75   0.31110   0.00000   0.01219   0.01219   90.00000   0.00000   0.00600    74   75   76      4
    76   0.31110   0.00000   0.02438   0.01219   90.00000   0.00000   0.00600    75   76   77      4
    77   0.31110   0.00000   0.03657   0.01219   90.00000   0.00000   0.00600    76   77   78      4
    78   0.31110   0.00000   0.04876   0.01219   90.00000   0.00000   0.00600    77   78   79      4
    79   0.31110   0.00000   0.06095   0.01219   90.00000   0.00000   0.00600    78   79   80      4
    80   0.31110   0.00000   0.07314   0.01219   90.00000   0.00000   0.00600    79   80   81      4
    81   0.31110   0.00000   0.08533   0.01219   90.00000   0.00000   0.00600    80   81   82      4
    82   0.31110   0.00000   0.09752   0.01219   90.00000   0.00000   0.00600    81   82   83      4
    83   0.31110   0.00000   0.10971   0.01219   90.00000   0.00000   0.00600    82   83   84      4
    84   0.31110   0.00000   0.12190   0.01219   90.00000   0.00000   0.00600    83   84    0      4
    85   0.39790   0.00000  -0.11143   0.01114   90.00000   0.00000   0.00600     0   85   86      5
    86   0.39790   0.00000  -0.10029   0.01114   90.00000   0.00000   0.00600    85   86   87      5
